date,x_i,S
2014-01-01,0.0,E
2014-01-02,0.2,E
2014-01-03,0.35600000000000004,E
2014-01-04,0.4984848056,E
2014-01-05,0.6467254257473469,E
2014-01-06,0.8143907359388365,E
2014-01-07,1.0127748841449131,E
2014-01-08,1.2527345194391708,E
2014-01-09,1.5459446586825545,E
2014-01-10,1.9058105993823156,E
2014-01-11,2.348218180901005,E
2014-01-12,2.892208419601917,E
2014-01-13,3.5605880850189093,E
2014-01-14,4.380405452121184,E
2014-01-15,5.383097624479753,E
2014-01-16,6.603907091398972,E
2014-01-17,8.079802926882635,E
2014-01-18,9.844533131178542,E
2014-01-19,11.918486779583473,E
2014-01-20,14.289790321378879,E
2014-01-21,16.882042075397713,E
2014-01-22,19.505279500280437,E
2014-01-23,21.79519865359222,E
2014-01-24,23.170104803471762,E
2014-01-25,22.880322095556995,E
2014-01-26,20.258619934022114,E
2014-01-27,15.184755893164068,E
2014-01-28,8.442668926846979,E
2014-01-29,1.421325726401748,E
2014-01-30,-4.744368425836309,E
2014-01-31,-9.6296386491715,E
2014-02-01,-13.243098094058158,E
2014-02-02,-15.631832096529733,E
2014-02-03,-16.72926241098034,E
2014-02-04,-16.402491643061527,E
2014-02-05,-14.603874214695125,E
2014-02-06,-11.531218346797745,E
2014-02-07,-7.669345749325112,E
2014-02-08,-3.6385315794049804,E
2014-02-09,0.047592183548814226,E
2014-02-10,3.1173996808454936,E
2014-02-11,5.509918621407161,E
2014-02-12,7.274126544910713,E
2014-02-13,8.490634201365479,E
2014-02-14,9.23603250402837,E
2014-02-15,9.575522476160032,E
2014-02-16,9.567760401653048,E
2014-02-17,9.27200149894674,E
2014-02-18,8.752499943197947,E
2014-02-19,8.078341861504677,E
2014-02-20,7.319250568083133,E
2014-02-21,6.539456027853957,E
2014-02-22,5.792127305611548,E
2014-02-23,5.116144418628738,E
2014-02-24,4.535717550415636,E
2014-02-25,4.062287308917604,E
2014-02-26,3.697660131494575,E
2014-02-27,3.437397250695293,E
2014-02-28,3.2738092606597107,E
2014-03-01,3.1982639800208585,E
2014-03-02,3.202771648466148,E
2014-03-03,3.280949847970874,E
2014-03-04,3.428519132550541,E
2014-03-05,3.643475244611873,E
2014-03-06,3.9260527326530545,E
2014-03-07,4.278554495253535,E
2014-03-08,4.70508021768493,E
2014-03-09,5.211146002210519,E
2014-03-10,5.80314654833478,E
2014-03-11,6.4875674958740985,E
2014-03-12,7.269807242849149,E
2014-03-13,8.15241689453582,E
2014-03-14,9.132525873403948,E
2014-03-15,10.198220624223216,E
2014-03-16,11.323750786515504,E
2014-03-17,12.463767111370037,E
2014-03-18,13.54751073348675,E
2014-03-19,14.475110514644843,E
2014-03-20,15.11978452236454,E
2014-03-21,15.340961636396118,E
2014-03-22,15.0121808159243,E
2014-03-23,14.061518890190445,E
2014-03-24,12.51102845901012,E
2014-03-25,10.492076566223638,E
2014-03-26,8.218691856189462,E
2014-03-27,5.92590359790908,E
2014-03-28,3.805643089996578,E
2014-03-29,1.972087152456768,E
2014-03-30,0.4629912981235882,E
2014-03-31,-0.7382394544163917,E
2014-04-01,-1.6774893815653367,E
2014-04-02,-2.4110521391299486,E
2014-04-03,-2.9943950603459224,E
2014-04-04,-3.476752463892014,E
2014-04-05,-3.899319251558463,E
2014-04-06,-4.295368980699348,E
2014-04-07,-4.691237057064764,E
2014-04-08,-5.107552112662746,E
2014-04-09,-5.560371735134815,E
2014-04-10,-6.062034155227153,E
2014-04-11,-6.62161855645992,E
2014-04-12,-7.244942745696093,E
2014-04-13,-7.934039246200392,E
2014-04-14,-8.686058825861126,E
2014-04-15,-9.491577118088022,E
2014-04-16,-10.332356681410927,E
2014-04-17,-11.178784659047583,E
2014-04-18,-11.987507692568805,E
2014-04-19,-12.700234535894408,E
2014-04-20,-13.245190647845066,E
2014-04-21,-13.543010139669656,E
2014-04-22,-13.518403413409597,E
2014-04-23,-13.117114018809477,E
2014-04-24,-12.324371890912996,E
2014-04-25,-11.17762474952326,E
2014-04-26,-9.76578830797634,E
2014-04-27,-8.212109809999586,E
2014-04-28,-6.646320779629854,E
2014-04-29,-5.177759486544825,E
2014-04-30,-3.879465850120832,E
2014-05-01,-2.785842145390945,E
2014-05-02,-1.8998548735822993,E
2014-05-03,-1.2038002098491434,E
2014-05-04,-0.6693002282148919,E
2014-05-05,-0.264666317455987,E
2014-05-06,0.04053651166003891,E
2014-05-07,0.2731533281364662,E
2014-05-08,0.4556180009331292,E
2014-05-09,0.6060422260177069,E
2014-05-10,0.7387789022994217,E
2014-05-11,0.8651770886804494,E
2014-05-12,0.9943626517617744,E
2014-05-13,1.1339596891627386,E
2014-05-14,1.2907196424841196,E
2014-05-15,1.471055318571463,E
2014-05-16,1.6814924502940911,E
2014-05-17,1.9290570261114204,E
2014-05-18,2.221615832248651,E
2014-05-19,2.5681823396248573,E
2014-05-20,2.979190586453093,E
2014-05-21,3.466724868879682,E
2014-05-22,4.0446698752192765,E
2014-05-23,4.7287091125594625,E
2014-05-24,5.536040836770294,E
2014-05-25,6.484588523171942,E
2014-05-26,7.591343016194504,E
2014-05-27,8.86927469977092,E
2014-05-28,10.322005550016913,E
2014-05-29,11.935206041621864,E
2014-05-30,13.663710412897057,E
2014-05-31,15.41416886056852,E
2014-06-01,17.02569035214934,E
2014-06-02,18.25667003429155,E
2014-06-03,18.79493184525134,E
2014-06-04,18.31525028563626,E
2014-06-05,16.597684605975296,E
2014-06-06,13.672654502682008,E
2014-06-07,9.890153320086347,E
2014-06-08,5.812249984408451,E
