date,x_i,isNull,S
0,0.0,False,E
1,0.2,False,E
2,0.35600000000000004,False,E
3,0.4984848056,False,E
4,0.6467254257473469,False,E
5,0.8143907359388365,False,E
6,1.0127748841449131,False,E
7,1.2527345194391708,False,E
8,1.5459446586825545,False,E
9,1.9058105993823156,False,E
10,2.348218180901005,False,E
11,2.892208419601917,False,E
12,3.5605880850189093,False,E
13,4.380405452121184,False,E
14,5.383097624479753,False,E
15,6.603907091398972,False,E
16,8.079802926882635,False,E
17,9.844533131178542,False,E
18,11.918486779583473,False,E
19,14.289790321378879,False,E
20,16.882042075397713,False,E
21,19.505279500280437,False,E
22,21.79519865359222,False,E
23,23.170104803471762,False,E
24,22.880322095556995,False,E
25,20.258619934022114,False,E
26,15.184755893164068,False,E
27,8.442668926846979,False,E
28,1.421325726401748,False,E
29,-4.744368425836309,False,E
30,-9.6296386491715,False,E
31,-13.243098094058158,False,E
32,-15.631832096529733,False,E
33,-16.72926241098034,False,E
34,-16.402491643061527,False,E
35,-14.603874214695125,False,E
36,-11.531218346797745,False,E
37,-7.669345749325112,False,E
38,-3.6385315794049804,False,E
39,0.047592183548814226,False,E
40,3.1173996808454936,False,E
41,5.509918621407161,False,E
42,7.274126544910713,False,E
43,8.490634201365479,False,E
44,9.23603250402837,False,E
45,9.575522476160032,False,E
46,9.567760401653048,False,E
47,9.27200149894674,False,E
48,8.752499943197947,False,E
49,8.078341861504677,False,E
50,7.319250568083133,False,E
51,6.539456027853957,False,E
52,5.792127305611548,False,E
53,5.116144418628738,False,E
54,4.535717550415636,False,E
55,4.062287308917604,False,E
56,3.697660131494575,False,E
57,3.437397250695293,False,E
58,3.2738092606597107,False,E
59,3.1982639800208585,False,E
60,3.202771648466148,False,E
61,3.280949847970874,False,E
62,3.428519132550541,False,E
63,3.643475244611873,False,E
64,3.9260527326530545,False,E
65,4.278554495253535,False,E
66,4.70508021768493,False,E
67,5.211146002210519,False,E
68,5.80314654833478,False,E
69,6.4875674958740985,False,E
70,7.269807242849149,False,E
71,8.15241689453582,False,E
72,9.132525873403948,False,E
73,10.198220624223216,False,E
74,11.323750786515504,False,E
75,12.463767111370037,False,E
76,13.54751073348675,False,E
77,14.475110514644843,False,E
78,15.11978452236454,False,E
79,15.340961636396118,False,E
80,15.0121808159243,False,E
81,14.061518890190445,False,E
82,12.51102845901012,False,E
83,10.492076566223638,False,E
